id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,place_country_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,field:eating,field:preying on,field:hunting,field:hunting/feeding,field:interaction->preyed on,field:prey taxon,field:prey id,field:feeding on,field:depredando
5602,"February 18, 2010 13:33",2010-02-18,2010-02-18 21:33:00 UTC,Pacific Time (US & Canada),311,antonyw,"",2010-02-19 06:44:24 UTC,2022-01-04 13:36:02 UTC,research,,http://www.inaturalist.org/observations/5602,https://inaturalist-open-data.s3.amazonaws.com/photos/10662/medium.JPG,,"",I was hiking around Coe today and had seen quite a few newts.  It occured to me that I didn't know what eats them since I heard recently that they are quite toxic.  I saw quite a few garter snakes near this pond but didn't see many newts(perhaps for obvious reasons ;-) )I found this paper (http://www.springerlink.com/content/wm0712gkq4704p2u/) on Garter Snakes that have developed resistance to tetrodotoxin after receiving Kueda's input on the ill fated newt submission. ,2,0,false,,"Henry Coe State Park, CA, US",37.0797462463,-121.407951355,,,,,,,open,false,,,United States,Diablo Range Garter Snake,Thamnophis atratus zaxanthus,Diablo Range Garter Snake,Reptilia,28421,Taricha torosa,,,,,,,,
13351,2008-12-03,2008-12-03,,Africa/Johannesburg,909,nikki,"",2011-03-28 09:22:43 UTC,2022-01-04 13:37:26 UTC,research,,http://www.inaturalist.org/observations/13351,http://static.inaturalist.org/photos/26533/medium.jpg,,"","",3,0,false,,"Atsimo-Andrefana, MG-TL, MG",-22.7888429926,43.4619140625,,,,,,,,false,,,Madagascar,Pencil Snake,Mimophis mahfalensis,Pencil Snake,Reptilia,29368,Chalarodon madagascariensis,,,,,,,,
19217,"May 25, 2011 ",2011-05-25,,Eastern Time (US & Canada),3406,briangratwicke,Brian Gratwicke,2011-05-30 18:56:16 UTC,2022-06-18 14:53:16 UTC,research,CC-BY,http://www.inaturalist.org/observations/19217,https://inaturalist-open-data.s3.amazonaws.com/photos/34818/medium.jpg,,"","",8,0,false,,"Mamoni Valley, Panama",9.3165509008,-79.0960693359,,,,,,,open,false,,,Panama,Leptophis depressirostris,Leptophis depressirostris,Cope's Parrot Snake,Reptilia,29713,Anura,,,,,,,,
26384,2011-05-22,2011-05-22,,Seoul,280,pintail,"Kim, Hyun-tae",2011-07-29 13:14:44 UTC,2022-04-16 07:34:12 UTC,research,CC-BY,http://www.inaturalist.org/observations/26384,http://static.inaturalist.org/photos/47369/medium.jpg,,"","Oocatochus rufodorsatus (CANTOR, 1842)  무자치 Frog-eating Rat Snake
",2,0,false,,"Taean, KR-GN, KR",36.7146689972,126.123046875,,,,,,,,false,,,South Korea,Frog-eating Rat Snake,Oocatochus rufodorsatus,Frog-eating Rat Snake,Reptilia,30236,Pelophylax,,,,,,,,
27296,2004-04-30,2004-04-30,,Seoul,280,pintail,"Kim, Hyun-tae",2011-08-09 23:52:55 UTC,2022-01-04 03:18:42 UTC,research,CC-BY,http://www.inaturalist.org/observations/27296,http://static.inaturalist.org/photos/48906/medium.jpg,,"","Steppe Rat Snake (Elaphe dione)

eatting Black-winged stilt's Egg.",1,0,false,,"Taean, KR-GN, KR",36.7083387849,126.3362503052,,,,,,,open,false,,,South Korea,Steppe Rat Snake,Elaphe dione,Steppe Ratsnake,Reptilia,30282,Himantopus himantopus,,,,,,,,
28864,2011-08-21,2011-08-21,,Seoul,280,pintail,"Kim, Hyun-tae",2011-08-24 04:35:55 UTC,2022-02-03 11:31:17 UTC,research,CC-BY,http://www.inaturalist.org/observations/28864,http://static.inaturalist.org/photos/51001/medium.jpg,,"","Elaphe dione (Pallas, 1773) 누룩뱀 Steppes Ratsnakes   

and 

Pelophylax nigromaculatus (Hallowell, 1861) 참개구리 Black-spotted Frog ",1,0,false,,"Taean, KR-GN, KR",36.7863291186,126.2838935852,,,,,,,open,false,,,South Korea,Steppe Rat Snake,Elaphe dione,Steppe Ratsnake,Reptilia,30282,Pelophylax nigromaculatus,,,,,,,,
31870,"July 31, 2011 11:43",2011-07-31,2011-07-31 03:43:00 UTC,Hong Kong,2027,kogia,"",2011-09-21 00:00:24 UTC,2022-11-07 05:39:25 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/31870,https://inaturalist-open-data.s3.amazonaws.com/photos/54943/medium.jpg,,"","Not great shots, but it was interesting watching it slowly hunt through the strange pile of fibreglass fruit that was left in our garden.

Eventually it emerged with a very large Asian common toad in it's mouth, hissing and flicking its tail in a very agitated way, we backed away to not disturb it further.
",3,0,false,,"Ho Chung, Hong Kong.",22.3670627093,114.2491436005,,,,,,,,false,,,Hong Kong,Dhaman,Ptyas mucosa,Oriental Rat Snake,Reptilia,28868,,Duttaphrynus melanostictus,,,,,,,
34816,2010-03-01,2010-03-01,,Pretoria,3184,louisedjasper,,2011-10-09 22:51:08 UTC,2022-02-09 15:42:50 UTC,research,,http://www.inaturalist.org/observations/34816,http://static.inaturalist.org/photos/59105/medium.jpg,,"",predating Chalarodon madagascariensis,2,0,false,,"Ranobe, PK32-Ranobe protected area, Madagascar",-23.0203401237,43.6253356934,,,,,,,,false,,,Madagascar,Pencil Snake,Mimophis mahfalensis,Pencil Snake,Reptilia,29368,,Chalarodon madagascariensis,,,,,,,
36345,2005-10-23,2005-10-23,,London,3320,danielaustin,Daniel Austin,2011-10-20 14:47:14 UTC,2022-02-01 18:06:47 UTC,research,,http://www.inaturalist.org/observations/36345,http://static.inaturalist.org/photos/61157/medium.jpg,,"","Dromicodryas bernieri predating upon Paroedura bastardi.

For further information, to see additional images or to enquire about using my photos, feel free to contact me via www.madagascar-photography.com",3,0,false,,"Canyon des Makis, Isalo",-22.5387836025,45.3809165955,,,,,,,open,false,,,Madagascar,Bernier's Striped Snake,Dromicodryas bernieri,Bernier's Striped Snake,Reptilia,30350,Paroedura bastardi,,,,,,,,
36927,2006-01-22,2006-01-22,,London,3320,danielaustin,Daniel Austin,2011-10-23 13:24:26 UTC,2022-11-12 16:01:18 UTC,research,,http://www.inaturalist.org/observations/36927,http://static.inaturalist.org/photos/61952/medium.jpg,,"","L. geayi predating upon Oplurus eggs.

For further information, to see additional images or to enquire about using my photos, feel free to contact me via www.madagascar-photography.com",4,0,false,,Kirindy,-20.0671690873,44.6573263407,,,,,,,open,false,,,Madagascar,Leioheterodon geayi,Leioheterodon geayi,Reticulated Hognose Snake,Reptilia,29743,Oplurus,,,,,,,,
