url,field.eating...interaction.,field.eating,field.preying.on,field.hunting,field.hunting.feeding,field.interaction..preyed.on,field.prey.taxon,field.prey.id,field.feeding.on,field.depredando
https://www.inaturalist.org/observations/173635410,,Holbrookia maculata,,,,Western Earless Lizard,,,,
https://www.inaturalist.org/observations/174373255,https://www.inaturalist.org/observations/174373259,Lepomis,,,,Actinopterygii,,,,
https://www.inaturalist.org/observations/174378323,,Gekkonidae,,,,Gekkota,,,,
https://www.inaturalist.org/observations/174973201,,Galliformes,,,,Gallus gallus domesticus,,,,
https://www.inaturalist.org/observations/175339223,,,Lacerta agilis exigua,,,Lacerta agilis,,,,
https://www.inaturalist.org/observations/176403197,,Leporidae,,,,Sylvilagus floridanus,,,,
https://www.inaturalist.org/observations/177445665,,,Lumbricina,,,Lumbricidae,,,,
https://www.inaturalist.org/observations/178335518,,,Rattus,,,Rattus rattus,,,,
https://www.inaturalist.org/observations/180262225,,Sauria,,,,Plestiodon,,,,
https://www.inaturalist.org/observations/181956145,,,Ictaluridae,,Catfish,,,,,
https://www.inaturalist.org/observations/182152529,,,,,,Rodentia,Mammalia,,,
https://www.inaturalist.org/observations/182566058,,Lithobates,,,,Anura,,,,
https://www.inaturalist.org/observations/183210849,,Aves,,,,Passeriformes,,,,
https://www.inaturalist.org/observations/183226131,,,Passeriformes,,,Aves,,,,
https://www.inaturalist.org/observations/183358001,,,Lepidoblepharis,,,Sauria,,,,
https://www.inaturalist.org/observations/183778526,,,Anolis,,,Anolidae,,,,
https://www.inaturalist.org/observations/183950890,,,Pelophylax ridibundus,,,Anura,,,,
https://www.inaturalist.org/observations/184152306,,Lumbricidae,,,,Oligochaeta,,,,
https://www.inaturalist.org/observations/184415550,,Anolis,,,,Anolidae,,,,
https://www.inaturalist.org/observations/184771476,,Bufonidae,,,,Incilius nebulifer,,,,
https://www.inaturalist.org/observations/185295873,https://www.inaturalist.org/observations/185296921,,Nerodia sipedon sipedon,,,Nerodia sipedon,,,,
https://www.inaturalist.org/observations/185461613,,American Toad,unknown,unknown,,unknown,unknown,American Toad,unknown,unknown
https://www.inaturalist.org/observations/186275202,,,Passeriformes,,,Passerellidae,,,,
https://www.inaturalist.org/observations/186800039,,,Claravis pretiosa,,,Aves,,,,
https://www.inaturalist.org/observations/187216595,,,Picidae,,,Passeriformes,,,,
https://www.inaturalist.org/observations/187776728,,Bufonidae,,,,Anura,,,,
https://www.inaturalist.org/observations/188678149,,Amphiuma means,,,,Amphiuma tridactylum,,,,
https://www.inaturalist.org/observations/189572163,,Pelophylax ridibundus,,,,Ranidae,,,,
https://www.inaturalist.org/observations/189837952,eating,Actinopterygii,Telestes souffia,,,,,,,
https://www.inaturalist.org/observations/190131087,,Rodentia,,,,Cricetidae,,,,
https://www.inaturalist.org/observations/190576166,https://www.inaturalist.org/observations/190576246,Sclerophrys,,,,Anura,,,,
https://www.inaturalist.org/observations/191427201,eating,,,,,Lumbricidae,,,Lumbricus terrestris,
https://www.inaturalist.org/observations/191464142,,Gekkonidae,Hemidactylus mabouia,,,,,,,
https://www.inaturalist.org/observations/193284009,,,Acanthodactylus,,,Sauria,,,,
https://www.inaturalist.org/observations/194470559,,Green Frog,unknown,unknown,,unknown,unknown,unknown,unknown,unknown
https://www.inaturalist.org/observations/195372104,,,Rhacophorus,,,Flying Frogs,,,,
,,,,,,,,,,
